ID,QC_LEVEL,INFO_SOURCE,CONTACT,ORGANISATION,ORGANISATION_ID,NO_REVISION,PERSON_REVISION,TIME_EVENT,TIME_CREATION,TIME_LAST_REVISION,TIME_ACCURACY,COUNTRY,STATE,PLACE,PLACE_LOCAL_LANGUAGE,DETAILED_LOCATION,LATITUDE,LONGITUDE,PLACE_ACCURACY,SURFACE_INITIAL_LOCATION,SURFACE_CROSSED,TYPE_EVENT,PRECIPITATION_AMOUNT,MAX_6_HOUR_PRECIP,MAX_12_HOUR_PRECIP,MAX_24_HOUR_PRECIP,CONVECTIVE,TOTAL_DURATION,EXCEPT_ELEC_PHENOM,NO_INJURED,NO_KILLED,EVENT_DESCRIPTION,EXT_URL,REFERENCE,IMPACTS,CREATOR_ID,REVISOR_ID,LINK_ORG,LINK_ID,DELETED
17356,QC1,"WWW,TV,DMGPHOTO",Thomas Pfeifhofer (Voluntary Observer Person),,,1,ESSL,2021-12-30 00:00:00,2021-12-30 10:51:15,2021-12-30 10:51:15,3H,AT,Vorarlberg,Hirschegg,,,47.333,10.167,3KM,,,PRECIP,,,,,,,0.0,,,"Heavy rain and melting snow caused mudslide. One dwelling evacuted, after being hit by mudslide. Creek inundate land. ",https://vorarlberg.orf.at/stories/3136565/,"""""Schlammlawine drang in Ferienwohnung"""", ORF Vorarlberg, 30 DEC 2021.",T1A2E1E3,VOP_Pfeifhofer,VOP_Pfeifhofer,ESSL,17356.0,N
5205,QC1,"WWW,NWSP,DMGPHOTO",Gabriel Strommer (ESWD management),,,2,ESSL,2021-12-29 18:00:00,2021-12-30 20:30:17,2021-12-30 20:38:49,6H,CH,Glarus,Luchsingen,,,46.97,9.037,3KM,,,PRECIP,,,,,,,0.0,,,"village partly flooded, cellars of 4 houses flooded; main road flooded over a distance of about 500 m, burried under mud/debris over a distance of about 100 m, road closed;",https://www.nau.ch/news/schweiz/uberschwemmung-feuerwehr-stosst-in-luchsingen-gl-an-grenzen-66076380 https://www.watson.ch/schweiz/glarus/851344257-starkregen-fuehrt-zu-ueberschwemmung-im-kanton-glarus,"Überschwemmung: Feuerwehr stösst in Luchsingen GL an Grenzen, Nau.ch, 30 Dec 2021. 15 Grad im Mittelland + Grosse Lawinengefahr in Alpen + Überschwemmung im Kanton Glarus, Watson.ch, 30 Dec 2021. RAD.",T1H7,Gabriel,Gabriel,ESSL,5205.0,N
49363,QC1,"WWW,NWSP,TV,DMGPHOTO",Nicolas Baluteau (Voluntary Observer Person),,,2,ESSL,2021-12-29 17:00:00,2022-01-02 14:14:45,2022-01-02 14:18:05,6H,FR,Région Rhône-Alpes,Saint-Pierre-de-Chartreuse,,Perquelin,45.333,5.817,5KM,,,PRECIP,,,,,,,0.0,,,"Due to strong rain, the main road is partially destroyed and unpassable. About 30 persons isolated.",https://www.francetvinfo.fr/meteo/inondations/intemperies-des-eboulements-suite-aux-inondations-en-isere_4899103.html https://www.francetvinfo.fr/meteo/inondations/intemperies-des-degats-importants-en-isere_4899063.html,"""""Intempéries : des éboulements suite aux inondations en Isère"""", francetvinfo.fr, 30 Dec 2021.",T1,VOP_Baluteau,VOP_Baluteau,ESSL,49363.0,N
49360,QC1,"WWW,NWSP,TV,DMGPHOTO",Nicolas Baluteau (Voluntary Observer Person),,,1,ESSL,2021-12-29 17:00:00,2021-12-31 15:28:37,2021-12-31 15:28:37,6H,FR,Région Rhône-Alpes,Montfort,,,45.3,5.9,5KM,,,PRECIP,,,,,,,0.0,,,"Due to strong rain long episode and snow melting, a mudslide carrying stones ran down the mountain in a few minutes. The funicular was partly buried and station was drowned with water.",https://www.francetvinfo.fr/meteo/inondations/intemperies-des-eboulements-suite-aux-inondations-en-isere_4899103.html https://www.francetvinfo.fr/meteo/inondations/intemperies-des-degats-importants-en-isere_4899063.html https://www.francebleu.fr/infos/environnement/photos-les-rails-et-la-gare-du-funiculaire-du-touvet-tres-endommages-par-un-torrent-de-pierres-et-de-1640879266,,E1,VOP_Baluteau,VOP_Baluteau,ESSL,49360.0,N
49364,QC1,"WWW,DMGPHOTO",Nicolas Baluteau (Voluntary Observer Person),,,1,ESSL,2021-12-29 17:00:00,2022-01-03 04:52:51,2022-01-03 04:52:51,6H,FR,Région Rhône-Alpes,Le Touvet,,Saint-Hilaire du Touvet ski station,45.35,5.95,10KM,,,PRECIP,,,,,,,0.0,,,"Due to strong rain episode and snow melting, the ground of the skiing area collapsed. Snow cannons and other equiments were also damaged.",https://www.francebleu.fr/infos/environnement/photos-les-rails-et-la-gare-du-funiculaire-du-touvet-tres-endommages-par-un-torrent-de-pierres-et-de-1640879266,"""""PHOTOS - Les rails et la gare du funiculaire du Touvet très endommagés par un torrent de pierres et de boue"""", France Bleu Isère, 30 Dec 2021.",E1,VOP_Baluteau,VOP_Baluteau,ESSL,49364.0,N
26932,QC1,"WWW,EYEWTN,DMGEYEWTN,SPTR,EVTPHOTO",MeteoNetwork Pretemp,MeteoNetwork - Pretemp,,1,,2021-12-10 21:00:00,2021-12-11 16:46:29,2021-12-11 00:00:00,1H,IT,Campania,Piano di Sorrento,,,40.625,14.416,,LAND,LAND,PRECIP,,,,,CONV,,,,,,https://www.facebook.com/diego.ambruoso/posts/5027223643989526 https://www.positanonews.it/2021/12/piano-di-sorrento-crollo-in-via-san-liborio/3537185/ ,,,VON_PRETEMP,VON_PRETEMP,ESSL,26932.0,N
26934,QC1,"WWW,EYEWTN,DMGEYEWTN,SPTR,EVTPHOTO",MeteoNetwork Pretemp,MeteoNetwork - Pretemp,,1,,2021-12-10 20:15:00,2021-12-11 17:00:35,2021-12-11 00:00:00,5M,IT,Marche,Agugliano,,,43.535,13.386,,LAND,LAND,PRECIP,,,,,CONV,,,,,Scuolabus rimasto bloccato,https://www.anconatoday.it/cronaca/agugliano-scuolabus-allagamento.html ,,,VON_PRETEMP,VON_PRETEMP,ESSL,26934.0,N
26914,QC1,"WWW,EYEWTN,DMGEYEWTN,SPTR,EVTPHOTO",MeteoNetwork Pretemp,MeteoNetwork - Pretemp,,1,,2021-12-05 10:00:00,2021-12-05 17:18:50,2021-12-05 00:00:00,1H,IT,Campania,Napoli,Posillipo,,40.802,14.203,,LAND,LAND,PRECIP,,,,,CONV,,,,,,https://www.facebook.com/105882885234322/posts/122773936878550/ ,,,VON_PRETEMP,VON_PRETEMP,ESSL,26914.0,N
26912,QC1,"WWW,EYEWTN,DMGEYEWTN,SPTR,EVTPHOTO",MeteoNetwork Pretemp,MeteoNetwork - Pretemp,,1,,2021-12-03 13:00:00,2021-12-03 20:50:31,2021-12-03 00:00:00,30M,IT,Campania,Anacapri,,,40.552,14.231,,LAND,LAND,PRECIP,,,,,CONV,,,,,,https://www.facebook.com/groups/858427844278444/permalink/4583498925104632/ https://www.ilmattino.it/napoli/cronaca/enorme_masso_frana_sulla_provinciale_capri_anacapri-6361528.html ,,,VON_PRETEMP,VON_PRETEMP,ESSL,26912.0,N
26905,QC1,"WWW,EYEWTN,DMGEYEWTN,SPTR,EVTPHOTO",MeteoNetwork Pretemp,MeteoNetwork - Pretemp,,1,,2021-11-28 21:00:00,2021-11-29 15:02:44,2021-11-29 00:00:00,3H,IT,Campania,Napoli,,,40.867,14.266,,LAND,LAND,PRECIP,,,,,CONV,,,,,,https://corrieredelmezzogiorno.corriere.it/napoli/cronaca/21_novembre_29/maltempo-allagamenti-napoli-provincia-vesuvio-compare-prima-neve-8dcc26fa-50eb-11ec-a1a5-315c5f2f6b2c.shtml ,,,VON_PRETEMP,VON_PRETEMP,ESSL,26905.0,N
